"id";"skill";"skill_type"
2903.0;"Analyzing";"soft"
2906.0;"Analyzing";"soft"
2924.0;"Analyzing";"soft"
2927.0;"Analyzing";"soft"
2935.0;"Analyzing";"soft"
2943.0;"Analyzing";"soft"
2944.0;"Analyzing";"soft"
2945.0;"Analyzing";"soft"
2952.0;"Analyzing";"soft"
2956.0;"Analyzing";"soft"
2957.0;"Analyzing";"soft"
2973.0;"Analyzing";"soft"
2974.0;"Analyzing";"soft"
2977.0;"Analyzing";"soft"
2981.0;"Analyzing";"soft"
2993.0;"Analyzing";"soft"
3000.0;"Analyzing";"soft"
3002.0;"Analyzing";"soft"
3004.0;"Analyzing";"soft"
3006.0;"Analyzing";"soft"
3015.0;"Analyzing";"soft"
3019.0;"Analyzing";"soft"
3027.0;"Analyzing";"soft"
3035.0;"Analyzing";"soft"
3039.0;"Analyzing";"soft"
3041.0;"Analyzing";"soft"
3042.0;"Analyzing";"soft"
3045.0;"Analyzing";"soft"
3061.0;"Analyzing";"soft"
3063.0;"Analyzing";"soft"
3064.0;"Analyzing";"soft"
3066.0;"Analyzing";"soft"
3070.0;"Analyzing";"soft"
3074.0;"Analyzing";"soft"
3075.0;"Analyzing";"soft"
3078.0;"Analyzing";"soft"
3079.0;"Analyzing";"soft"
3081.0;"Analyzing";"soft"
3083.0;"Analyzing";"soft"
3090.0;"Analyzing";"soft"
3091.0;"Analyzing";"soft"
3102.0;"Analyzing";"soft"
3103.0;"Analyzing";"soft"
3137.0;"Analyzing";"soft"
3138.0;"Analyzing";"soft"
3140.0;"Analyzing";"soft"
3141.0;"Analyzing";"soft"
3146.0;"Analyzing";"soft"
3151.0;"Analyzing";"soft"
3153.0;"Analyzing";"soft"
3156.0;"Analyzing";"soft"
3157.0;"Analyzing";"soft"
3163.0;"Analyzing";"soft"
3164.0;"Analyzing";"soft"
3169.0;"Analyzing";"soft"
3170.0;"Analyzing";"soft"
3174.0;"Analyzing";"soft"
3185.0;"Analyzing";"soft"
3191.0;"Analyzing";"soft"
3197.0;"Analyzing";"soft"
3199.0;"Analyzing";"soft"
3206.0;"Analyzing";"soft"
3207.0;"Analyzing";"soft"
3212.0;"Analyzing";"soft"
3215.0;"Analyzing";"soft"
3227.0;"Analyzing";"soft"
3240.0;"Analyzing";"soft"
3245.0;"Analyzing";"soft"
3246.0;"Analyzing";"soft"
3254.0;"Analyzing";"soft"
3276.0;"Analyzing";"soft"
3282.0;"Analyzing";"soft"
3283.0;"Analyzing";"soft"
3289.0;"Analyzing";"soft"
3294.0;"Analyzing";"soft"
